2026-01-18 01:44:11,476 | INFO  | MainThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initializing Base Gateway Component...
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Retrieved common configs: Namespace=my_project_namespace/, GatewayID=gdk-gateway-d98a9133
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.core_a2a.service | [CoreA2AService-WebUI] Initialized with namespace: my_project_namespace/
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.agent.adk.services | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initializing Artifact Service of type: filesystem
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.agent.adk.artifacts.filesystem_artifact_service | Initialized FilesystemArtifactService. Base path: /tmp/samv2
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.agent.adk.services | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Wrapping artifact service with dynamic ScopedArtifactServiceWrapper.
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.common.services.identity_service | [IdentityFactory] No 'identity_service' configuration found. Skipping creation.
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Middleware system initialized (using default configuration resolver).
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initialized Base Gateway Component.
2026-01-18 01:44:11,477 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initializing Web UI Backend Component...
2026-01-18 01:44:11,478 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  WebUI-specific configuration retrieved (Host: 127.0.0.1, Port: 8000).
2026-01-18 01:44:11,478 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Scheduling agent health check every 10 seconds.
2026-01-18 01:44:11,478 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.session_manager | Initialized SessionManager
2026-01-18 01:44:11,480 | INFO  | MainThread | solace_agent_mesh.common.sam_events.event_service | [SamEventService] Initialized for component <unnamed>_gateway in namespace my_project_namespace/
2026-01-18 01:44:11,480 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Data retention is enabled. Initializing service and timer...
